logo,database_names,reason
Abu Dhabi Executive Office,Abu Dhabi Executive Office,"There is still no Wikipedia page or Commons file for ADEO, and none of its possible domains (adeo.gov.ae, adeo.ae, executiveoffice.gov.ae) can be reached. Its only web presence is a topic page on the Abu Dhabi Media Office site, which is not ADEO's own site."
Abu Dhabi General Secretariat of the Executive Council,Abu Dhabi General Secretariat of the Executive Council,"The General Secretariat's own last logo is not on Wikimedia, ecouncil.ae redirects to abudhabi.gov.ae, and the Wayback Machine was offline. English Wikipedia does have a logo for the Abu Dhabi Executive Council itself (Logo_of_Abu_Dhabi_Executive_Council.jpg, 361x157, clipped at the right edge). That is a different body, so I did not use it; Will could choose to accept it."
Abu Dhabi Sports Council,Abu Dhabi Sports Council,"Neither the English nor the Arabic Wikipedia page has a logo, and Commons has none. adsc.gov.ae and adsc.ae still fail to connect through the proxy."
Adam Smith International,Adam Smith International,"There is no Wikipedia logo or Commons file. adamsmithinternational.com still returns a SiteGround captcha for the page and its theme assets. A fetch that got past the captcha showed only certification badges, not the header logo."
Al Jalila Children's Speciality Hospital,Al Jalila Children's Speciality Hospital,"The English and Arabic Wikipedia pages have no logo, and Commons has none. aljalilachildrens.ae and dubaihealth.ae still fail to connect through the proxy."
Al Watania for Industries,Al Watania for Industries,"Commons has no logo, and wataniaind.com (the confirmed official site) still times out through the proxy on every attempt."
Ali Bin Ali Group,Ali Bin Ali Group,The Wikipedia page has no logo and Commons has none. alibinali.com still returns a SiteGround captcha to every request.
American Hospital Dubai,American Hospital Dubai,The Wikipedia page has no logo and Commons has none. ahdubai.com still returns a Cloudflare 403.
APSR,Oman Authority for Electricity Regulation,"There is no Wikipedia or Commons logo. apsr.om is a StemExe/meetexe app that loads its logo from an authenticated platform API; the only site icon (stemexe-fav.png) is the platform vendor's default triangle, not APSR's mark."
Bahrain Economic Development Board (EDB),Bahrain Economic Development Board (EDB); EDB Bahrain,"Wikimedia and Wikipedia APIs answered 429 on every retry, and the first run found no logo there. bahrainedb.com still returns only an AWS WAF challenge (202/405)."
Concorde El Salam Hotels,Concorde El Salam Hotels,"There is no Wikipedia or Commons logo, the Wikimedia API was rate-limited, and the proxy refused the official hotel domains (concorde-hotels.com, concordeelsalam.com)."
Decision Support Centre (DSC),Decision Support Centre (DSC); DSC Decision Support Center,"dsc.gov.sa is still unreachable (the proxy tunnel closes and the connection times out), and the Wikimedia API was rate-limited, with no Commons logo found before."
Delta Partners,Delta Partners,"The domain still redirects to fticonsulting.com, so no official copy of the last logo is online, and Wikimedia was rate-limited, with no logo found before."
Dubai Air Navigation Services (DANS),Dubai Air Navigation Services (DANS),"Wikimedia has no DANS logo (no Wikipedia page in English or Arabic, and the Commons searches found nothing), and dans.gov.ae still refuses every connection from here, including through WebFetch. The only copies are on third-party sites."
Dubai Department of Economy and Tourism,Dubai Department of Economic Development (DED); Dubai Department of Tourism and Commerce Marketing,"Wikimedia has no DET logo. WebFetch found the logo at dubaidet.gov.ae/en/-/media/common/logos/revised/dubai-det-flag-logo.svg, but Akamai returns 403 to every direct download, and WebFetch will not return image content."
Dubai Executive Council,Dubai Executive Council,"The Arabic Wikipedia page has no logo and Commons has nothing. tec.gov.ae times out or returns 503 to curl and WebFetch. It has its own mark, so the coat-of-arms fallback does not apply."
Dubai SME,Dubai SME,"Wikimedia has no file. sme.ae now redirects to dubaifoundershq.com, whose Dubai SME logo (dubai-sme-v1.png) returns Akamai 403 to direct downloads."
DUCAB,DUCAB,"The header logo URL was found, but Cloudflare returns 403 on every attempt to download it, with any user agent. The Wikimedia API was rate-limited throughout, and the first run found no Wikipedia page."
European Regions Research and Innovation Network (ERRIN),European Regions Research and Innovation Network (ERRIN),"Wikimedia has no page or file. errin.eu returns a Cloudflare 403 for pages and assets, and WebFetch found no logo URLs."
F&E Aerospace,F&E Aerospace,"feaerospace.com now redirects to geaerospace.com, feaerospace.ae is unreachable, and Wikimedia has no file, so no official current logo could be sourced."
Federal University of Technology Akure,Federal University of Technology Akure,"Commons has only campus photos, no logo. futa.edu.ng and its subdomains return a Cloudflare 403, and WebFetch found no logo image URLs."
Idama Facilities Management Solutions,Idama Facilities Management Solutions,"idama.ae still redirects to ejadah.com, which shows only the Ejadah logo, and Wikimedia has no Idama logo. I can build the parent Ejadah logo if Will wants it."
Injazat,Injazat,"Wikimedia has no Injazat page or file, and injazat.com redirects to core42.ai, which no longer shows Injazat's last logo. I can build the Core42 logo if Will wants it."
INTERREG IVC,INTERREG IVC,"Neither channel has the IVC logo. Commons has no file, interreg4c.eu no longer responds, and successor Interreg Europe does not host the old mark. Only a third-party aggregator has it."
Invest AD,Invest AD,"Wikimedia has no page or file, and investad.com still resets every connection, including with a browser user agent and over HTTP/1.1."
Jeddah Airport Company (JEDCO),Jeddah Airport Company (JEDCO),"Commons has no Jeddah Airports Company logo, and kaia.sa still returns Cloudflare 403 with a browser user agent. The King Abdulaziz International Airport logo on Wikipedia could be used if Will accepts it."
Kenya Roads Board,Kenya Roads Board,"krb.go.ke still resets HTTPS connections and times out over HTTP (503), and Wikimedia has no KRB logo. The Commons 'KRB Logo 2022' is an unrelated Indonesian logo."
King Faisal Medical City,King Faisal Medical City,"Neither channel has a logo: Wikimedia has no article or file, and I found no reachable official website, only LinkedIn and Facebook. Will should also confirm it is not King Fahad Medical City (Riyadh) or KFSHRC, which is already in the library."
Kuwait Anti-Corruption Authority,Kuwait Anti-Corruption Authority,"Wikipedia and Commons (English and Arabic) still have no logo, and nazaha.gov.kw fails TLS certificate verification at the egress proxy, so it cannot be reached."
Kuwait National Fund for Small and Medium Enterprise Development,Kuwait National Fund for Small and Medium Enterprise Development,"Wikipedia and Commons (English and Arabic) have no logo, and nationalfund.gov.kw is still behind a Sucuri JavaScript bot challenge, which I did not get around."
LAPFUND,LAPFUND,Wikimedia has no logo. lapfund.or.ke still cannot be reached: the proxy tunnel returns 502 and plain http does not resolve.
Lifera,Lifera,"Wikipedia and Commons have no logo, and lifera.com still serves a SiteGround captcha (HTTP 202) to every request."
MB Holding Company,MB Holding Company,The Wikipedia page has only a portrait photo and Commons has no logo. mbholdingco.com still serves a SiteGround captcha (HTTP 202).
Metro Jeddah,Metro Jeddah,"The Jeddah Metro pages on English and Arabic Wikipedia have no logo, and neither does Commons. metrojeddah.com.sa no longer resolves, and mjc.sa belongs to an unrelated shop."
Niger Delta Development Commission (NDDC),Niger Delta Development Commission (NDDC),"The only Wikimedia file is 76px; enlarged, it came out blurred and illegible on a grey box, so I deleted it. nddc.gov.ng still returns 403 for its logo files (NDDCNewLogo.jpg, nddclogo.png), even with browser headers."
Nigeria Federal Inland Revenue Service (FIRS),Nigeria Federal Inland Revenue Service (FIRS),"The last FIRS logo is not available: the FIRS Wikipedia article now redirects to NRS with no logo, there is nothing on Commons, and firs.gov.ng returns 503 or resets. The NRS logo could be used instead if Will agrees."
Nigeria National Broadcasting Commission,Nigeria National Broadcasting Commission,The Wikipedia article has no logo and Commons searches found none; nbc.gov.ng still serves only an 'Under Maintenance' page with no images.
Nigerian Export - Import bank,Nigerian Export - Import bank,"The Wikipedia article has no logo and Commons has none. neximbank.com.ng returns a Cloudflare 403 for every path, even with a browser user agent, and a text fetch of the page gave no image URLs."
Octal,Octal,"Octal has no Wikipedia or Commons logo, and octal.com redirects to alpekpolyester.com, which shows only the Alpek Polyester logo. The parent mark is available at https://www.alpekpolyester.com/wp-content/uploads/2023/04/alpek-polyester.svg if Will wants it."
Oman Information Technology Authority,Oman Information Technology Authority,"The last ITA logo could not be found: ita.gov.om still does not connect, and there is no Wikipedia article or Commons file."
Oman Public Authority for Electricity and Water,Oman Public Authority for Electricity and Water,"paew.gov.om does not connect, and there is no Wikipedia or Commons logo, so the last PAEW logo could not be found."
Oman Public Authority for Social Insurance,Oman Public Authority for Social Insurance,"pasi.gov.om and spf.gov.om do not connect, and there is no Wikipedia or Commons logo."
Omani Authority for Partnership and Development,Omani Authority for Partnership and Development,"oapd.gov.om does not connect, and Wikipedia and Commons have no logo."
Open Society Initiative for West Africa (OSIWA),Open Society Initiative for West Africa (OSIWA),"The Wikipedia article has no logo and Commons has none. osiwa.org redirects to the Open Society Foundations Africa page, which shows only the OSF logo. The OSF logo is the option if Will treats it as the successor."
Overseas Development Institute,Overseas Development Institute,"The Commons file ODI.svg is only the old navy 'Overseas Development Institute' roundel, not the current ODI Global mark. odi.org blocks automated requests with Cloudflare, and its og:image is a brand graphic, not a clean logo. If Will accepts the old roundel, it can be built from the Commons file."
S-Chem,S-Chem,"There is no Commons file, and s-chem.com could not be reached from here on this run (every connection was dropped, even after repeated retries), so I could not get even the small 300px header logo."
Sami Navantia Naval Industries,Sami Navantia Naval Industries,"Commons has no logo, and the proxy refuses the connection to saminavantia.com.sa (502 on CONNECT; saminavantia.com gives 403)."
SEPLAT,SEPLAT,"Commons has no logo. seplatenergy.com still returns a Cloudflare 403 to curl, including for its media files. A text fetch of the page got through but showed no logo file URL, because the header logo appears to be inline."
Serbia Anti-Corruption Agency,Serbia Anti-Corruption Agency,"acas.rs drops every connection from here, and a text fetch returned no image URLs. Commons searches in English and Serbian Cyrillic found no logo."
Seychelles Civil Aviation Authority (SCAA),Seychelles Civil Aviation Authority (SCAA),"The logo is at https://www.scaa.sc/images/scaa-logo-blue.png, but the site returns a SiteGround captcha challenge for every file, including that image, and Commons has no logo."
Shams Power Company,Shams Power Company,"The proxy refuses the connection to shamspower.ae, and Commons has only a photo of the plant. If Will prefers the parent's logo, masdar.png is already in the library."
Sierra Leone National Revenue Authority,Sierra Leone National Revenue Authority,"nra.gov.sl dropped every connection on this run, even after repeated retries with long timeouts, so I could not get the 228px logo even with enlarging now allowed. Commons has no logo."
Soros Foundation-Kazakhstan,Soros Foundation-Kazakhstan,"The soros.kz TLS certificate is still expired, so the site cannot be fetched safely, and Commons has no logo."
Space42,Yahsat,Wikipedia (English and Arabic) and Commons have no Space42 logo. space42.ai and its Logo.svg are still behind a Cloudflare challenge (403) for every user agent tried.
Tasnee,Tasnee,"tasnee.com drops every connection from here, and a text fetch failed on its TLS certificate. Commons has only an unrelated photo (TASNEE 001.jpg)."
Tawal,Tawal,"tawal.com.sa drops every connection from here, and a text fetch failed on its TLS certificate. Commons has no Tawal logo."
The Benefit Company,The Benefit Company,"The only Wikipedia logo is 62x73px, which is too small to enlarge legibly. The Commons and Arabic Wikipedia pages have no logo, and benefit.bh and benefitpay.bh are still blocked by Cloudflare (403)."
The Executive Office of HH Sheikh Mohammed (TEO),The Executive Office of HH Sheikh Mohammed (TEO),"English and Arabic Wikipedia and Commons have no logo, and theexecutiveoffice.gov.ae still cannot be reached from here (the connection fails)."
UAE Regulation and Supervision Bureau,UAE Regulation and Supervision Bureau,"English and Arabic Wikipedia and Commons have no logo, and rsb.gov.ae still cannot be reached from here."
Uganda National Planning Authority,Uganda National Planning Authority,"Wikipedia and Commons have no logo, and npa.go.ug still returns 403 with both user agents (and sometimes fails to connect at all)."
Uganda National Roads Authority,Uganda National Roads Authority,"Wikipedia and Commons have no UNRA logo, and unra.go.ug still resets the connection or returns 503, so the last logo could not be fetched."
Abu Dhabi Department of Finance,Abu Dhabi Department of Finance,"Not on Wikimedia, and dof.abudhabi.ae, including its Corporate Identity page, only has logo.png (226x80) and logo.jpg (279x97), so both are too small."
