match_name,decision,note
A 2 Z Express Services,no logo: individual or small local firm,
AAL Group,no logo: individual or small local firm,
ABB,source,
ABC,no logo: Will unticked,Lebanese department store
AC,no logo: individual or small local firm,
ACCL International,no logo: individual or small local firm,
ACE Insurance Brokers,no logo: individual or small local firm,
ADDC,alias added,taqa.png
AES Electric,source,AES
AGIP,alias added,eni.png
AIS-R,no logo: individual or small local firm,
AL-TAWAIL Management Consulting & Training,no logo: individual or small local firm,
AMICO,source,Saudi medical supplies firm; Will ticked 24 Sep 2026
AMIT International,no logo: individual or small local firm,
ANDS Middle East,no logo: individual or small local firm,
APEC Training Center,no logo: individual or small local firm,
ASAAS,no logo: individual or small local firm,
Abdulkadir Al Muhaidib and Sons company,source,
Abeer Khamis Al Balushi,no logo: individual or small local firm,
Abraj Energy Services (ABRAJ),source,
Abu Dhabi Airports,source,
Abu Dhabi Council of Economic Development,no logo: Will unticked,abolished Abu Dhabi body
Abu Dhabi Department of Community Development (DCD),source,
Abu Dhabi Department of Economic Development (DED),source,
Abu Dhabi Department of Energy,source,
Abu Dhabi Department of Finance,source,
Abu Dhabi Department of Urban Planning and Municipalities,alias added,abu-dhabi-dmt.png
Abu Dhabi Early Childhood Authority (ECA),source,
Abu Dhabi Education Council (ADEC),source,successor ADEK
"Abu Dhabi Education, Human Development and Community Development Council (EHCD)",source,
Abu Dhabi Executive Office,source,
Abu Dhabi General Secretariat of the Executive Council,source,
Abu Dhabi Motorsport Management,source,now part of Ethara; Will ticked 24 Sep 2026
Abu Dhabi Retirement Pensions and Benefits Fund,source,
Abu Dhabi Sports Council,source,
Abu Dhabi Systems and Information Center,no logo: Will unticked,merged into Abu Dhabi digital government
Abu Dhabi Transmission & Despatch Company,alias added,taqa.png
Abu Dhabi University,source,
Acr,no logo: individual or small local firm,
Act center,no logo: individual or small local firm,
Action PR,no logo: individual or small local firm,
ActionAid,source,
Active PR,no logo: individual or small local firm,
AdVoice,no logo: individual or small local firm,
Adaa,source,
Adalid PR,no logo: individual or small local firm,
Adam Smith International,source,
Adamawa State Government,source,
Advising Families Across Generations (STEP),source,
Aerospace Holding,source,"UAE, which company is unclear; Will ticked 24 Sep 2026"
Afghanistan Civilian Technical Assistance Programme (CTAP),source,programme; Will ticked 24 Sep 2026
Afghanistan Government Media and Information Center (GMIC),source,pre-2021 government; Will ticked 24 Sep 2026
Afghanistan Independent Election Commission (IEC),source,pre-2021 government; Will ticked 24 Sep 2026
Afghanistan Ministry of Finance,source,pre-2021 government; Will ticked 24 Sep 2026
"Afghanistan Ministry of Labor, Social Affairs, Martyrs and Disabled",source,pre-2021 government; Will ticked 24 Sep 2026
Afghanistan National Assembly Upper House,source,"pre-2021 government, dissolved; Will ticked 24 Sep 2026"
Africa Communications,no logo: individual or small local firm,
African Field Epidemiology Network (AFENET),source,
Aftabnet Communication Group,no logo: individual or small local firm,
Aga Khan Development Network (AKDN),source,
Agencja Track Marek Dabrowski,no logo: individual or small local firm,
Agile Solutions,no logo: individual or small local firm,
Ahmed Saleh,no logo: individual or small local firm,
Air Astana,source,
Air Liquide,source,
Air Partner,source,
Airport International Group,source,
Ajman Public Transport Corporation,source,
Ajman Tourism Development Department,source,
Ajman University of Science and Technology,source,
Akcea Therapeutics UK,no logo: brand no longer trades,bought by Ionis
Akkök Holding,source,
Akron Trade and Transport,no logo: individual or small local firm,
Al Ain Holding,source,UAE holding company; Will ticked 24 Sep 2026
Al Ain Properties,no logo: individual or small local firm,
